鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
芎林鄉,房地(土地+建物),新竹縣芎林鄉富林路三段７１號七樓,10.94,,特定農業區,甲種建築用地,1150210,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130318,36.879999999999995,3,2,2,有,有,3850000,104393,,0.0,0,,RPXPMLPLKHLGFCJ86DA,26.03,0.0,2.65,有,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮五豐一路６巷１１號,82.31,住,,,1150202,土地2建物1車位1,全,五層,透天厝,住家用,鋼筋混凝土造,0960723,225.3,3,2,4,有,有,17500000,77674,一樓平面,0.0,0,,RPOPMLPJLHLGFCJ48DA,215.76,0.0,9.54,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光一路１２５號九樓,23.64,都市：其他:科技商務服務專用區,,,1150210,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1121003,153.07,3,2,2,有,有,17850000,116613,坡道平面,32.5,0,,RPVNMLTJLHLGFCJ76DA,80.01,0.0,5.2,有,008
新埔鎮,土地,水車頭段209-1地號,89.31,,山坡地保育區,農牧用地,1150226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1082437,12120,,0.0,0,政府機關標讓售；,RPSNMLRKLHLGFBJ88DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興一路５６號四樓之二,21.82,商,,,1150208,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030728,222.94,4,2,2,有,有,28380000,127305,坡道平面,0.0,0,其他增建；,RPSOMLTJKHLGFBJ98DA,117.33,3.05,11.83,有,
竹北市,車位,新竹縣竹北市勝利七街二段１５２號,0.82,住,,,1150123,土地1建物1車位1,一層,十四層,其他,管理員室,鋼筋混凝土造,0940608,16.060000000000002,0,0,0,無,有,150000,,坡道機械,17.07,150000,僅車位交易；,RPVOMLRLJHLGFBJ56DA,0.0,0.0,0.0,有,009
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光一路１１３號九樓,23.64,都市：其他:科技商務服務專用區,,,1150115,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1121003,152.89,3,2,2,有,有,17200000,112499,坡道平面,32.5,0,,RPXOMLNLJHLGFCJ09DA,80.01,0.0,5.2,有,010
芎林鄉,土地,山湖段秀湖小段486地號,2900.0,,特定農業區,農牧用地,1150105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000000,4138,,0.0,0,,RPTNMLMJKHLGFCJ38DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光一路８１號七樓,23.64,都市：其他:科技商務服務專用區,,,1150112,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1121003,153.31,3,2,2,有,有,19200000,125236,坡道平面,33.69,0,,RPSNMLMKKHLGFCJ38DA,79.49,0.0,5.2,有,011
竹東鎮,房地(土地+建物),新竹縣竹東鎮北興路二段１１巷１１號六樓,9.92,商,,,1150128,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840619,70.56,2,2,1,有,有,4800000,68027,,0.0,0,其他增建；,RPVNMLPLKHLGFCJ09DA,52.02,0.0,4.96,有,
